address,value_out,value_in,balance,degree,degree_in,degree_out,max_value,min_value,mean_value,std_value,median_value,motif1,motif1_00,motif1_01,motif1_10,motif1_11,motif2,motif3,motif1_ratio,motif2_ratio,motif3_ratio,motif1_00_ratio,motif1_01_ratio,motif1_10_ratio,motif1_11_ratio,0,1,2,3,4,5,6,7,8,9,label
0x000000000532b45f47779fce440748893b257865,117.12947344839678,117.1320249483968,-0.0025515000000098,23,20,3,39.044,0.0004099383967846,10.185282538991023,12.063354115302804,5.0,138,138,0,0,0,920,14,0.1287313432835821,0.8582089552238806,0.013059701492537313,1.0,0.0,0.0,0.0,10056.186099116767,74089.66019778191,38354.88830925737,119710.15605188157,98043.69773347386,16639.793389764807,67682.93490446953,11993.482351773413,51710.90325028021,18295.079406496192,0
0x00000000072d54638c2c2a3da3f715360269eea1,215.9655326709009,215.19390962660003,0.7716230443008669,53,30,23,208.0900088078228,0.0,8.13508381693398,30.835011740627863,0.100444548674573,433,181,18,201,33,696,260,0.3117350611951044,0.5010799136069114,0.18718502519798416,0.418013856812933,0.04157043879907621,0.46420323325635104,0.07621247113163972,10001.417802146874,74039.47288815923,38309.99267022787,119656.83282844066,98011.89639837922,16586.992016309257,67629.67573431652,11940.940031332435,51657.94824621398,18242.22117613731,0
0x0000000009324b6434d7766af41908e4c49ee1d7,164.2090427000516,164.2149017000516,-0.0058589999999867,15,9,6,100.0,0.01,21.894929626673548,25.89482795948533,15.19483358,96,84,0,12,0,282,18,0.24242424242424243,0.7121212121212122,0.045454545454545456,0.875,0.0,0.125,0.0,10058.967605590684,74092.4006408819,38355.49044443623,119712.40337226316,98043.2215727988,16642.04815943146,67685.18494224317,11995.742775916207,51713.38170653645,18297.373508097666,0
0x0000000086c5d614bec59dfd2c9b88f7cb57f23c,60.502304943000006,50.502913943,9.999391000000005,6,5,1,60.502304943000006,5.0,18.50086981433333,21.866757532198832,8.1500196415,24,24,0,0,0,92,0,0.20689655172413793,0.7931034482758621,0.0,1.0,0.0,0.0,0.0,10101.167100764977,74131.73482020621,38387.115176447114,119752.44716363231,98065.65383762405,16682.067881838226,67725.22812759446,12035.746274381436,51753.43369862397,18337.455861927578,0
0x00000000bf02300fd6251627aa3db8933a0eee83,101.76101350433622,81.7664235043362,19.994590000000017,24,20,4,41.477,0.0022901,7.646976542028018,10.16726906422008,3.049,47,47,0,0,0,598,0,0.07286821705426356,0.9271317829457364,0.0,1.0,0.0,0.0,0.0,10088.22102353721,74121.02575451267,38381.23165415042,119741.30907765152,98061.63845948402,16670.929979708642,67714.08633081362,12024.610915673018,51741.96002509044,18326.220082992273,0
0x00000e32e51011e28958d4696627c82c3dacd5a6,1.2977856588427157,1.2620087588427158,0.0357768999999998,43,31,12,0.27835196,0.0,0.0595301027368705,0.0687815041037326,0.027,216,145,56,4,7,790,44,0.2057142857142857,0.7523809523809524,0.0419047619047619,0.6712962962962963,0.25925925925925924,0.018518518518518517,0.032407407407407406,10120.050440677362,74153.17162206687,38408.26733525756,119773.69806906112,98081.41151871852,16703.315687267746,67746.474318685,12056.993226744766,51774.05648333993,18358.594177332747,0
0x00067010f3ae17aa53e2b4d5142dda35380cf72d,3.24011274,3.24034899,-0.0002362500000003,10,9,1,3.24011274,0.005,0.648046173,1.3041701415655054,0.0382528,42,42,0,0,0,312,0,0.11864406779661017,0.8813559322033898,0.0,1.0,0.0,0.0,0.0,10118.424196153486,74151.56514309706,38406.917931167045,119772.09513021969,98080.45972630013,16701.712747653408,67744.87138907913,12055.390260322409,51772.462981264835,18356.991726726108,0
0x0020731604c882cf7bf8c444be97d17b19ea4316,17.528747452227762,17.579884852227764,-0.0511374000000017,18,15,3,11.27787245222776,0.0001,1.9504795724697517,2.5895699411169266,1.0013055,134,77,30,27,0,476,22,0.2120253164556962,0.7531645569620253,0.03481012658227848,0.5746268656716418,0.22388059701492538,0.20149253731343283,0.0,10112.067981143557,74145.1024796235,38401.07155259749,119765.62830297722,98076.17472186298,16695.246271537344,67738.40511058163,12048.924331716838,51766.096798778286,18350.53774758605,0
0x002f0c8119c16d310342d869ca8bf6ace34d9c39,1.317896,1.31882,-0.0009240000000001,5,3,2,0.8178,0.00102,0.5273432,0.3343089288385819,0.50039,15,15,0,0,0,30,0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,10119.987797335667,74153.08753158001,38408.177554206304,119773.61824271631,98081.2548610894,16703.23586174449,67746.39454083485,12056.913403108225,51773.9911789782,18358.514123635112,0
0x003eb9c77b5b896fcc27adead606d23def34510e,0.0,0.0,0.0,89,88,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2152,0,0.0,1.0,0.0,,,,,10120.213805514148,74153.32835069795,38408.40114355695,119773.85925479038,98081.51354628036,16703.476872162028,67746.63550621227,12057.154383026877,51774.21647494133,18358.755469802418,0
0x003f12c49df27295fe97d4990b7901e2c855adf5,0.537,0.5528846262182413,-0.0158846262182412,19,12,7,0.223,0.01,0.0573623487483284,0.0458297546502804,0.046,84,81,3,0,0,376,8,0.1794871794871795,0.8034188034188035,0.017094017094017096,0.9642857142857143,0.03571428571428571,0.0,0.0,10120.115198095635,74153.22376097584,38408.304637467365,119773.75354439474,98081.43784403848,16703.371162001506,67746.52980909258,12057.048686215157,51774.11329802582,18358.650039616754,0
0x0059b14e35dab1b4eee1e2926c7a5660da66f747,38.13376706056816,37.55604605856816,0.577721001999997,127,98,29,36.7,0.0,0.5959827804656402,3.5937674775626305,0.00707923,349,0,0,349,0,1796,50,0.15899772209567198,0.8182232346241458,0.022779043280182234,0.0,0.0,1.0,0.0,10099.716552747992,74133.3133098102,38391.52213358356,119753.83668381411,98069.58749040171,16683.45430159495,67726.61294000279,12037.131791952346,51754.30480848027,18338.73530567523,0
0x0061fb5485dff4bb85c078dca80d19119224d97e,5.043537708,5.04586921,-0.0023315020000005,13,11,2,4.043537708,0.001,0.7761082244615386,1.0133602558306776,0.5,78,68,7,0,3,354,8,0.17727272727272728,0.8045454545454546,0.01818181818181818,0.8717948717948718,0.08974358974358974,0.0,0.038461538461538464,10118.39142974707,74151.39858082711,38406.70547183891,119771.92837325715,98080.23477132632,16701.545993523934,67744.70478155941,12055.223549686798,51772.318484743664,18356.828065957452,0
0x0067b43cb530e683dbffb43f5caacde867472721,3.211054,3.22,-0.0089460000000003,5,2,3,2.22,1.0,1.2862108,0.5229851680336643,1.0626,28,14,0,14,0,10,26,0.4375,0.15625,0.40625,0.5,0.0,0.5,0.0,10118.961039889096,74152.14711506828,38407.18345108979,119772.67737909924,98080.47382547506,16702.29499936696,67745.45331876395,12055.972424176929,51772.99600070006,18357.567370882734,0
