address,motif1,motif1_00,motif1_01,motif1_10,motif1_11,motif2,motif3,motif1_ratio,motif2_ratio,motif3_ratio,motif1_00_ratio,motif1_01_ratio,motif1_10_ratio,motif1_11_ratio,label
0x000000000532b45f47779fce440748893b257865,131,131,0,0,0,684,14,0.158021712907117,0.8250904704463209,0.016887816646562123,1.0,0.0,0.0,0.0,0
0x00000000072d54638c2c2a3da3f715360269eea1,431,175,28,195,33,716,262,0.3058907026259759,0.5081618168914124,0.18594748048261178,0.4060324825986079,0.06496519721577726,0.45243619489559167,0.0765661252900232,0
0x0000000009324b6434d7766af41908e4c49ee1d7,123,111,0,12,0,298,30,0.2727272727272727,0.6607538802660754,0.06651884700665188,0.9024390243902439,0.0,0.0975609756097561,0.0,0
0x0000000086c5d614bec59dfd2c9b88f7cb57f23c,25,25,0,0,0,100,0,0.2,0.8,0.0,1.0,0.0,0.0,0.0,0
0x00000000bf02300fd6251627aa3db8933a0eee83,43,43,0,0,0,584,0,0.0685805422647528,0.9314194577352473,0.0,1.0,0.0,0.0,0.0,0
0x00000e32e51011e28958d4696627c82c3dacd5a6,243,169,52,11,9,988,44,0.19058823529411764,0.7749019607843137,0.034509803921568626,0.6954732510288066,0.2139917695473251,0.04526748971193416,0.037037037037037035,0
0x00067010f3ae17aa53e2b4d5142dda35380cf72d,41,41,0,0,0,298,0,0.12094395280235988,0.8790560471976401,0.0,1.0,0.0,0.0,0.0,0
0x0020731604c882cf7bf8c444be97d17b19ea4316,147,81,31,35,0,438,30,0.23902439024390243,0.7121951219512195,0.04878048780487805,0.5510204081632653,0.2108843537414966,0.23809523809523808,0.0,0
0x00278018530825863b765dc6cd581c0a8d471ade,5,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0x002bf459dc58584d58886169ea0e80f3ca95ffaf,10,0,0,5,5,0,10,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0
0x002f0c8119c16d310342d869ca8bf6ace34d9c39,15,15,0,0,0,30,0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0
0x003eb9c77b5b896fcc27adead606d23def34510e,0,0,0,0,0,2242,0,0.0,1.0,0.0,,,,,0
0x003f12c49df27295fe97d4990b7901e2c855adf5,93,89,4,0,0,494,8,0.15630252100840336,0.8302521008403362,0.013445378151260505,0.956989247311828,0.043010752688172046,0.0,0.0,0
0x0059b14e35dab1b4eee1e2926c7a5660da66f747,502,87,25,388,2,1368,160,0.24729064039408866,0.6738916256157635,0.07881773399014778,0.17330677290836655,0.049800796812749,0.7729083665338645,0.00398406374501992,0
0x0061fb5485dff4bb85c078dca80d19119224d97e,84,70,9,0,5,320,10,0.2028985507246377,0.7729468599033816,0.024154589371980676,0.8333333333333334,0.10714285714285714,0.0,0.05952380952380952,0
0x00650a784ee109797ba8c05f3496bdbf2b2b7a1c,10,0,0,10,0,0,10,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0
0x0067b43cb530e683dbffb43f5caacde867472721,30,15,0,15,0,10,30,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.5,0.0,0.5,0.0,0
0x007a376e488cee20e2b059e683e61af28eea9f63,159,130,0,24,0,314,54,0.301707779886148,0.5958254269449715,0.10246679316888045,0.8176100628930818,0.0,0.1509433962264151,0.0,0
0x0084515449b037205a33d6d3940a5684126aa4b5,72,51,12,9,0,224,10,0.23529411764705882,0.7320261437908496,0.032679738562091505,0.7083333333333334,0.16666666666666666,0.125,0.0,0
0x008f3db10374099a11ec263415cb88c952abeedc,152,76,0,76,0,60,252,0.3275862068965517,0.12931034482758622,0.5431034482758621,0.5,0.0,0.5,0.0,0
0x009aadbc3826a67b603483e7b1174806d8a782bf,288,178,93,11,6,1794,36,0.1359773371104816,0.8470254957507082,0.0169971671388102,0.6180555555555556,0.3229166666666667,0.03819444444444445,0.020833333333333332,0
0x00bbd61f1f46bb2882e59af47b69dd7b501d5317,0,0,0,0,0,10,0,0.0,1.0,0.0,,,,,0
0x00c33c49f9a2a920e3f3787204cbda9012d1912e,383,10,3,181,189,110,1276,0.21650650084793668,0.06218202374222725,0.7213114754098361,0.02610966057441253,0.007832898172323759,0.4725848563968668,0.4934725848563969,0
0x00d07f8c2194f14c8d694680f2b8c0be66d4d5e9,0,0,0,0,0,0,0,,,,,,,,0
0x00dbc5d9f5c3cfb4f9f889ad0bf20650a21c6c39,0,0,0,0,0,60,0,0.0,1.0,0.0,,,,,0
0x00dd74a19a4a7f1613f1bcf49d81944a7974d2a9,5,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0x00de6bb8c4c4072aa4eb8d7e04d76a00d4621428,29,0,0,29,0,0,244,0.10622710622710622,0.0,0.8937728937728938,0.0,0.0,1.0,0.0,0
0x00e01a648ff41346cdeb873182383333d2184dd1,445,177,0,258,9,690,246,0.3222302679217958,0.499637943519189,0.1781317885590152,0.39775280898876403,0.0,0.5797752808988764,0.020224719101123594,0
0x00e8b95224298d3a9d14f4982b56f53275431f57,10,10,0,0,0,10,0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0
0x00EB6f5199cD0B671da371969B1A0F948e982Fea,122,104,6,12,0,684,10,0.14950980392156862,0.8382352941176471,0.012254901960784314,0.8524590163934426,0.04918032786885246,0.09836065573770492,0.0,0
0x00f91664065c9858628faab8e6dad11c1d5f94d9,110,37,50,3,10,2682,6,0.039313795568263046,0.958541815582559,0.002144388849177984,0.33636363636363636,0.45454545454545453,0.02727272727272727,0.09090909090909091,0
0x00fbf5e62c707a9a5f9dd26d425eaf805eb8d548,20,10,0,10,0,10,10,0.5,0.25,0.25,0.5,0.0,0.5,0.0,0
0x0111a93692b5ccff5c4b006d88d82664f76dfd21,232,102,11,110,3,204,198,0.3659305993690852,0.3217665615141956,0.31230283911671924,0.4396551724137931,0.04741379310344827,0.47413793103448276,0.01293103448275862,0
0x0128282ce73c72decabaeace9358344adff449fe,317,41,29,196,51,92,1028,0.22059846903270702,0.06402226861517049,0.7153792623521225,0.12933753943217666,0.0914826498422713,0.6182965299684543,0.1608832807570978,0
0x0132946103efffa43337128cf65f0b3531378e87,132,132,0,0,0,1652,4,0.0738255033557047,0.9239373601789709,0.0022371364653243847,1.0,0.0,0.0,0.0,0
0x0153775362c3071c1860e8dbfd53ccc82fa226f5,5,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0x015a8f02b4e55b3c93678e5b44f7205ff9e8ece2,15,15,0,0,0,30,0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0
0x015c0E438b3a01511B98D928BD031D3Dc50AbB9E,45,15,0,20,10,30,30,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.0,0.4444444444444444,0.2222222222222222,0
0x015f17e2851ea392351b7f259e4cfd03dc443cef,0,0,0,0,0,0,0,,,,,,,,0
0x015fca1d09287823e634ae51237ee1eeff03d9d5,15,10,5,0,0,30,0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0
0x0163617542f1e06c126349118483cacc5a1f4e9f,60,30,5,25,0,150,10,0.2727272727272727,0.6818181818181818,0.045454545454545456,0.5,0.08333333333333333,0.4166666666666667,0.0,0
0x0167409e6106ec3e3f05a09fcf04606918d21ad5,43,10,0,33,0,8,92,0.3006993006993007,0.055944055944055944,0.6433566433566433,0.23255813953488372,0.0,0.7674418604651163,0.0,0
0x016cf0887fb6e1ec7bbfa2fde621725d2a471a88,75,23,0,52,0,140,22,0.31645569620253167,0.5907172995780591,0.09282700421940929,0.30666666666666664,0.0,0.6933333333333334,0.0,0
0x0177eb92b752fa0715ee0dce1d860eaf739b5cf4,141,60,5,64,12,88,162,0.36061381074168797,0.22506393861892582,0.4143222506393862,0.425531914893617,0.03546099290780142,0.45390070921985815,0.0851063829787234,0
0x0178499f84c76c9b863318703092080f31dfa1ae,42,17,0,15,10,30,26,0.42857142857142855,0.30612244897959184,0.2653061224489796,0.40476190476190477,0.0,0.35714285714285715,0.23809523809523808,0
0x017f86b90a46d8fd999eaefda1339355b98da12f,5,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
