address,balance_0,balance_1,balance_2,balance_3,balance_4,balance_5,balance_6,balance_7,balance_8,balance_9,balance_10,balance_11,balance_12,balance_13,balance_14,balance_15,balance_16,balance_17,balance_18,balance_19,balance_20,balance_21,balance_22,balance_23,balance_24,balance_25,balance_26,balance_27,balance_28,balance_29,balance_30,balance_31,balance_32,balance_33,balance_34,balance_35,balance_36,balance_37,balance_38,balance_39,balance_40,balance_41,balance_42,balance_43,balance_44,balance_45,balance_46,balance_47,balance_48,balance_49,label
0x0000000000000000000000000000000000000000,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,2.3076608208500007,1
0x0000000000000000000000000000000000000002,0.00010000100000000001,0.011498659011666577,0.030285930901047114,0.04886466098099311,0.06717477915580766,0.08503579130126085,0.10203467984977677,0.11922621390153507,0.13633439820560025,0.15383618828749204,0.17158343508420407,0.17158343508420407,0.17158343508420407,0.17158343508420407,0.17158343508420407,0.17158343508420407,0.17158343508420407,0.17158343508420407,0.17158343508420407,0.17159343508420408,0.267375522278148,0.567375522278148,1.567375522278148,1.567375522278148,1.567375522278148,1.567735522278148,1.567835522278148,1.567835522278148,1.567835522278148,1.567835522278148,1.567835522278148,1.567835522278148,1.567835522278148,1.567835522278148,1.567835522278148,1.567835522278148,1.567835522278148,1.567835522278148,1.567835522278148,1.567835522278148,1.567835522278148,1.567835522278148,1.567835522278148,1.567835522278148,1.6678555397433636,1.7679080812692411,1.8684995832075446,1.9685897142683604,2.06960370155786,2.170552608719875,1
0x0000000000000000000000000000000000000003,0.029593404054417603,0.047809601376023886,0.06565602047706134,0.08361564802888656,0.10065443404492236,0.11761515283039845,0.13518543141907804,0.1524081777203355,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.1693486824927681,0.16935868249276811,0.16935868249276811,0.46935868249276813,1.4693586824927682,1.4693586824927682,1.4693586824927682,1
0x0000000000000000000000000000000000000004,1e-18,1e-18,0.010686524262967482,0.02922464652907488,0.04738163837576496,0.0648148957180707,0.08277418651404987,0.09961640200293487,0.11698271394101348,0.13498971313381142,0.1525053564768758,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,0.16952340813247946,1
0x0000000000000000000000000000000000000005,1e-18,0.01110843274368234,0.029688357629153162,0.04795830679723361,0.06629356444571248,0.08452952525723954,0.10223741379138925,0.11961068987350987,0.13724696119942084,0.15461188767519124,0.17222679116864756,0.17222679116864756,0.27135960279117444,0.36959728486766336,0.46652433909839425,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,0.5615243390983943,1
0x0000000000000000000000000000000000000006,1e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,2e-18,1
0x0000000000000000000000000000000000000007,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1
0x0000000000000000000000000000000000000008,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1
0x0000000000000000000000000000000000000009,1e-18,1e-18,1.0000000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1.0010000000001e-05,1
0x000000000000000000000000000000000000dead,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,0.3283835820643753,1
